folio,from_civic_number,street_name,property_postal_code,neighbourhood_code,legal_type,year_built,current_land_value,current_improvement_value,tax_assessment_year
019632060000,,BELMONT AVE,V6T 1A9,001,LAND,2018,12654000.0,16772000.0,2022
019632060000,,BELMONT AVE,V6T 1A9,001,LAND,2018,11781000.0,12009000.0,2021
019632060000,,BELMONT AVE,V6T 1A9,001,LAND,2018,11190000.0,10807000.0,2020
019632060000,,BELMONT AVE,V6T 1A9,001,LAND,2018,13200000.0,21140000.0,2025
019632060000,,BELMONT AVE,V6T 1A9,001,LAND,2018,12844000.0,18290000.0,2023
019632060000,,BELMONT AVE,V6T 1A9,001,LAND,2018,13029000.0,20545000.0,2024
019632290000,,FANNIN AVE,V6T 1B2,001,LAND,1915,10209000.0,1473000.0,2021
019632290000,,FANNIN AVE,V6T 1B2,001,LAND,1915,10862000.0,1600000.0,2022
019632290000,,FANNIN AVE,V6T 1B2,001,LAND,1915,11320000.0,1455000.0,2025
019632290000,,FANNIN AVE,V6T 1B2,001,LAND,1915,11173000.0,1558000.0,2024
019632290000,,FANNIN AVE,V6T 1B2,001,LAND,1915,11015000.0,1623000.0,2023
019632290000,,FANNIN AVE,V6T 1B2,001,LAND,1915,9723000.0,1419000.0,2020
019632450000,,FANNIN AVE,V6T 1B2,001,LAND,1945,11260000.0,89100.0,2025
019632450000,,FANNIN AVE,V6T 1B2,001,LAND,1945,9833000.0,73300.0,2020
019632450000,,FANNIN AVE,V6T 1B2,001,LAND,1945,10820000.0,92300.0,2022
019632450000,,FANNIN AVE,V6T 1B2,001,LAND,1945,10323000.0,77000.0,2021
019632450000,,FANNIN AVE,V6T 1B2,001,LAND,1945,11114000.0,91400.0,2024
019632450000,,FANNIN AVE,V6T 1B2,001,LAND,1945,10956000.0,90600.0,2023
019632650000,,FANNIN AVE,V6T 1B2,001,LAND,2008,11260000.0,7874000.0,2025
019632650000,,FANNIN AVE,V6T 1B2,001,LAND,2008,11114000.0,7657000.0,2024
019632650000,,FANNIN AVE,V6T 1B2,001,LAND,2008,10956000.0,6883000.0,2023
019632650000,,FANNIN AVE,V6T 1B2,001,LAND,2008,10323000.0,6277000.0,2021
019632650000,,FANNIN AVE,V6T 1B2,001,LAND,2008,10820000.0,6678000.0,2022
019632650000,,FANNIN AVE,V6T 1B2,001,LAND,2008,9833000.0,6287000.0,2020
019632760000,,FANNIN AVE,V6T 1B1,001,LAND,1976,12849000.0,10000.0,2023
019632760000,,FANNIN AVE,V6T 1B1,001,LAND,1976,12309000.0,10000.0,2021
019632760000,,FANNIN AVE,V6T 1B1,001,LAND,1976,13206000.0,453000.0,2025
019632760000,,FANNIN AVE,V6T 1B1,001,LAND,1976,13034000.0,32600.0,2024
019632760000,,FANNIN AVE,V6T 1B1,001,LAND,1976,11762000.0,10000.0,2020
019632760000,,FANNIN AVE,V6T 1B1,001,LAND,1976,12718000.0,10000.0,2022
019635070000,,FANNIN AVE,V6T 1B2,001,LAND,1937,11535000.0,847000.0,2025
019635070000,,FANNIN AVE,V6T 1B2,001,LAND,1937,11224000.0,948000.0,2023
019635070000,,FANNIN AVE,V6T 1B2,001,LAND,1937,10032000.0,866000.0,2020
019635070000,,FANNIN AVE,V6T 1B2,001,LAND,1937,10501000.0,853000.0,2021
019635070000,,FANNIN AVE,V6T 1B2,001,LAND,1937,11093000.0,917000.0,2022
019635070000,,FANNIN AVE,V6T 1B2,001,LAND,1937,11385000.0,843000.0,2024
019635170000,,DRUMMOND DR,V6T 1B7,001,LAND,1925,15005000.0,756000.0,2021
019635170000,,DRUMMOND DR,V6T 1B7,001,LAND,1925,15392000.0,794000.0,2022
019635170000,,DRUMMOND DR,V6T 1B7,001,LAND,1925,15695000.0,769000.0,2023
019635170000,,DRUMMOND DR,V6T 1B7,001,LAND,1925,16131000.0,677000.0,2025
019635170000,,DRUMMOND DR,V6T 1B7,001,LAND,1925,14246000.0,751000.0,2020
019635170000,,DRUMMOND DR,V6T 1B7,001,LAND,1925,15921000.0,727000.0,2024
019635260000,,DRUMMOND DR,V6T 1B4,001,LAND,1990,12616000.0,4033000.0,2021
019635260000,,DRUMMOND DR,V6T 1B4,001,LAND,1990,14456000.0,5794000.0,2025
019635260000,,DRUMMOND DR,V6T 1B4,001,LAND,1990,14065000.0,5235000.0,2023
019635260000,,DRUMMOND DR,V6T 1B4,001,LAND,1990,11978000.0,4078000.0,2020
019635260000,,DRUMMOND DR,V6T 1B4,001,LAND,1990,13789000.0,5242000.0,2022
019635260000,,DRUMMOND DR,V6T 1B4,001,LAND,1990,14268000.0,5704000.0,2024
019635330000,,DRUMMOND DR,V6T 1B7,001,LAND,1948,16379000.0,189000.0,2023
019635330000,,DRUMMOND DR,V6T 1B7,001,LAND,1948,15521000.0,172000.0,2021
019635330000,,DRUMMOND DR,V6T 1B7,001,LAND,1948,16379000.0,189000.0,2022
019635330000,,DRUMMOND DR,V6T 1B7,001,LAND,1948,16769000.0,190000.0,2025
019635330000,,DRUMMOND DR,V6T 1B7,001,LAND,1948,14741000.0,172000.0,2020
019635330000,,DRUMMOND DR,V6T 1B7,001,LAND,1948,16613000.0,181000.0,2024
019635370000,,DRUMMOND DR,V6T 1B7,001,LAND,1948,15104000.0,5647000.0,2021
019635370000,,DRUMMOND DR,V6T 1B7,001,LAND,1948,16167000.0,6236000.0,2024
019635370000,,DRUMMOND DR,V6T 1B7,001,LAND,1948,15939000.0,6388000.0,2023
019635370000,,DRUMMOND DR,V6T 1B7,001,LAND,1948,16319000.0,6563000.0,2025
019635370000,,DRUMMOND DR,V6T 1B7,001,LAND,1948,14345000.0,5726000.0,2020
019635370000,,DRUMMOND DR,V6T 1B7,001,LAND,1948,15939000.0,6611000.0,2022
019635380000,,DRUMMOND DR,V6T 1B4,001,LAND,2002,7319000.0,3878000.0,2024
019635380000,,DRUMMOND DR,V6T 1B4,001,LAND,2002,6838000.0,3219000.0,2021
019635380000,,DRUMMOND DR,V6T 1B4,001,LAND,2002,6494000.0,3269000.0,2020
019635380000,,DRUMMOND DR,V6T 1B4,001,LAND,2002,7388000.0,3942000.0,2025
019635380000,,DRUMMOND DR,V6T 1B4,001,LAND,2002,7216000.0,3928000.0,2023
019635380000,,DRUMMOND DR,V6T 1B4,001,LAND,2002,7216000.0,3625000.0,2022
019635490000,,DRUMMOND DR,V6T 1B7,001,LAND,1997,12008000.0,7253000.0,2020
019635490000,,DRUMMOND DR,V6T 1B7,001,LAND,1997,13342000.0,7490000.0,2022
019635490000,,DRUMMOND DR,V6T 1B7,001,LAND,1997,13342000.0,7798000.0,2023
019635490000,,DRUMMOND DR,V6T 1B7,001,LAND,1997,13660000.0,8743000.0,2025
019635490000,,DRUMMOND DR,V6T 1B7,001,LAND,1997,12643000.0,7228000.0,2021
019635490000,,DRUMMOND DR,V6T 1B7,001,LAND,1997,13533000.0,8587000.0,2024
019635500000,,DRUMMOND DR,V6T 1B6,001,LAND,1933,7835000.0,1908000.0,2024
019635500000,,DRUMMOND DR,V6T 1B6,001,LAND,1933,7081000.0,289000.0,2022
019635500000,,DRUMMOND DR,V6T 1B6,001,LAND,1933,7909000.0,1810000.0,2025
019635500000,,DRUMMOND DR,V6T 1B6,001,LAND,1933,7015000.0,274000.0,2021
019635500000,,DRUMMOND DR,V6T 1B6,001,LAND,1933,6663000.0,274000.0,2020
019635500000,,DRUMMOND DR,V6T 1B6,001,LAND,1933,7307800.0,1982000.0,2023
019635610000,,DRUMMOND DR,V6T 1B7,001,LAND,1997,8579000.0,5308000.0,2020
019635610000,,DRUMMOND DR,V6T 1B7,001,LAND,1997,9669000.0,6720000.0,2024
019635610000,,DRUMMOND DR,V6T 1B7,001,LAND,1997,9760000.0,6897000.0,2025
019635610000,,DRUMMOND DR,V6T 1B7,001,LAND,1997,9533000.0,6056000.0,2023
019635610000,,DRUMMOND DR,V6T 1B7,001,LAND,1997,9033000.0,5293000.0,2021
019635610000,,DRUMMOND DR,V6T 1B7,001,LAND,1997,9533000.0,5508000.0,2022
019635620000,,DRUMMOND DR,V6T 1B6,001,LAND,1930,9195000.0,1837000.0,2024
019635620000,,DRUMMOND DR,V6T 1B6,001,LAND,1930,9066000.0,1900000.0,2023
019635620000,,DRUMMOND DR,V6T 1B6,001,LAND,1930,8981000.0,1755000.0,2021
019635620000,,DRUMMOND DR,V6T 1B6,001,LAND,1930,8530000.0,1796000.0,2020
019635620000,,DRUMMOND DR,V6T 1B6,001,LAND,1930,9281000.0,1893000.0,2025
019635620000,,DRUMMOND DR,V6T 1B6,001,LAND,1930,9066000.0,1981000.0,2022
019635730000,,DRUMMOND DR,V6T 1B7,001,LAND,1934,8994000.0,164000.0,2025
019635730000,,DRUMMOND DR,V6T 1B7,001,LAND,1934,8911000.0,169000.0,2024
019635730000,,DRUMMOND DR,V6T 1B7,001,LAND,1934,8785000.0,172000.0,2023
019635730000,,DRUMMOND DR,V6T 1B7,001,LAND,1934,8325000.0,155000.0,2021
019635730000,,DRUMMOND DR,V6T 1B7,001,LAND,1934,7907000.0,151000.0,2020
019635730000,,DRUMMOND DR,V6T 1B7,001,LAND,1934,8785000.0,170000.0,2022
019635740000,,DRUMMOND DR,V6T 1B6,001,LAND,1926,9726000.0,2612000.0,2024
019635740000,,DRUMMOND DR,V6T 1B6,001,LAND,1926,9589000.0,2501000.0,2022
019635740000,,DRUMMOND DR,V6T 1B6,001,LAND,1926,9500000.0,3497000.0,2021
019635740000,,DRUMMOND DR,V6T 1B6,001,LAND,1926,9022000.0,3342000.0,2020
019635740000,,DRUMMOND DR,V6T 1B6,001,LAND,1926,9589000.0,2712000.0,2023
019635740000,,DRUMMOND DR,V6T 1B6,001,LAND,1926,9817000.0,1517000.0,2025
019635850000,,DRUMMOND DR,V6T 1B7,001,LAND,1931,8690000.0,652000.0,2023
019635850000,,DRUMMOND DR,V6T 1B7,001,LAND,1931,8897000.0,1051000.0,2025
019635850000,,DRUMMOND DR,V6T 1B7,001,LAND,1931,8235000.0,629000.0,2021
019635850000,,DRUMMOND DR,V6T 1B7,001,LAND,1931,7821000.0,625000.0,2020
019635850000,,DRUMMOND DR,V6T 1B7,001,LAND,1931,8690000.0,661000.0,2022
019635850000,,DRUMMOND DR,V6T 1B7,001,LAND,1931,8814000.0,1139000.0,2024
019635860000,,DRUMMOND DR,V6T 1B6,001,LAND,1930,9448000.0,951000.0,2022
019635860000,,DRUMMOND DR,V6T 1B6,001,LAND,1930,9448000.0,873000.0,2023
019635860000,,DRUMMOND DR,V6T 1B6,001,LAND,1930,9360000.0,896000.0,2021
019635860000,,DRUMMOND DR,V6T 1B6,001,LAND,1930,9583000.0,830000.0,2024
019635860000,,DRUMMOND DR,V6T 1B6,001,LAND,1930,8890000.0,874000.0,2020
019635860000,,DRUMMOND DR,V6T 1B6,001,LAND,1930,9673000.0,776000.0,2025
019635940000,,DRUMMOND DR,V6T 1B6,001,LAND,1949,16341000.0,210000.0,2020
019635940000,,DRUMMOND DR,V6T 1B6,001,LAND,2021,17367000.0,225000.0,2023
019635940000,,DRUMMOND DR,V6T 1B6,001,LAND,2021,17781000.0,0.0,2025
019635940000,,DRUMMOND DR,V6T 1B6,001,LAND,2021,17615000.0,251000.0,2024
019635940000,,DRUMMOND DR,V6T 1B6,001,LAND,2021,17367000.0,228000.0,2022
019635940000,,DRUMMOND DR,V6T 1B6,001,LAND,1949,17205000.0,211000.0,2021
019635970000,,DRUMMOND DR,V6T 1B7,001,LAND,1951,7197000.0,47700.0,2021
019635970000,,DRUMMOND DR,V6T 1B7,001,LAND,1951,6835000.0,51400.0,2020
019635970000,,DRUMMOND DR,V6T 1B7,001,LAND,1951,7703000.0,56600.0,2024
019635970000,,DRUMMOND DR,V6T 1B7,001,LAND,1951,7595000.0,56100.0,2023
019635970000,,DRUMMOND DR,V6T 1B7,001,LAND,1951,7776000.0,53700.0,2025
